Byte    size              char       
128K    131072        0.000013844910 
256K    262144        0.000014275804 
512K    524288        0.000017089262 
1M      1048576       0.000018548593 
2M      2097152       0.000029727044 
4M      4194304       0.000040742965 
8M      8388608       0.000074982352 
16M     16777216      0.000143373007 
32M     33554432      0.000280198408 
64M     67108864      0.000556020532 
